OBJECTID,HL_DATE,HL_TYPE,SHAPEAREA,SHAPELEN
918,2019/10/16 00:00:00+00,1,2845.27364609375,199.07686191503
919,2019/10/16 00:00:00+00,1,8208.5638859375,396.41663628333
920,2022/04/05 00:00:00+00,1,3839.356534375,225.552218115722
921,2019/10/16 00:00:00+00,1,7153.34614140625,334.916849625438
922,2019/10/16 00:00:00+00,1,14764.061378125,467.685230093205
923,2019/10/16 00:00:00+00,1,12017.2172796875,437.484587179698
924,2019/10/16 00:00:00+00,1,35260.5131125,919.359400481367
925,2019/10/16 00:00:00+00,1,20466.804009375,707.261109775546
926,2019/10/16 00:00:00+00,1,994.69760078125,122.147996377412
927,2019/10/16 00:00:00+00,1,23889.1051101563,620.745250930011
928,2019/10/16 00:00:00+00,1,94372.639003125,1670.26865946111
929,2019/10/16 00:00:00+00,1,42996.0232703125,923.693716460745
930,2019/10/16 00:00:00+00,1,158329.701901563,2765.35726365263
931,2019/10/16 00:00:00+00,1,465.72488671875,90.2023060974201
932,2022/04/05 00:00:00+00,1,3167.777528125,381.619610400985
933,2022/04/05 00:00:00+00,1,9687.734821875,405.997705471158
934,2022/04/05 00:00:00+00,1,67958.1392320312,1370.27534293931
935,2019/10/16 00:00:00+00,1,10033.8202953125,415.799478424514
936,2019/10/16 00:00:00+00,1,6624.903040625,312.659044163455
937,2019/10/16 00:00:00+00,1,2716.37110546875,299.969572841958
938,2022/04/05 00:00:00+00,1,3479.53907734375,230.183837231289
939,2019/10/16 00:00:00+00,1,5516.53900234375,370.826319939635
940,2019/10/16 00:00:00+00,1,6375.57276796875,294.614775114539
941,2019/10/16 00:00:00+00,1,6472.94572265625,330.234491390566
942,2022/04/05 00:00:00+00,1,20106.3925429688,699.514576830691
943,2019/10/16 00:00:00+00,1,14950.2379773437,775.014489854454
944,2019/10/16 00:00:00+00,1,5109.65210859375,288.658480429959
945,2019/10/16 00:00:00+00,1,11025.1805132812,472.237634249221
946,2022/04/05 00:00:00+00,1,20281.4059617188,540.987977420937
947,2019/10/16 00:00:00+00,1,1748.85474609375,161.920503846861
948,2019/10/16 00:00:00+00,1,25864.7669828125,606.277763513193
949,2019/10/16 00:00:00+00,1,16073.288846875,534.646164518683
950,2022/04/05 00:00:00+00,1,124746.045989844,1598.23481726185
951,2022/04/05 00:00:00+00,3,10754.0217226563,3061.18886663897
952,2022/04/05 00:00:00+00,3,5887.09765859375,1516.52575496721
953,2022/04/05 00:00:00+00,3,91127.5349234375,9825.19406629825
954,2022/04/05 00:00:00+00,3,39916.109440625,6008.31022060917
955,2019/10/16 00:00:00+00,3,9155.5172453125,1641.48105586794
956,2019/10/16 00:00:00+00,4,196687.903284375,2989.3926630953
957,2019/10/16 00:00:00+00,4,476.84042265625,87.008817622578
