OBJECTID,DBARC_COD,DIVIDE,AV_LEGEND,IMS_LEGEND,LENGTH_MI,SHAPE_Length
18322,4,Local drainage basin divide,Local,Local,0.57918798,3058.11369726224
18323,4,Local drainage basin divide,Local,Local,0.157937,833.905374813899
18324,4,Local drainage basin divide,Local,Local,0.361606,1909.27947643812
18325,4,Local drainage basin divide,Local,Local,1.34688997,7111.59830199047
18326,4,Local drainage basin divide,Local,Local,1.25120997,6606.37744895557
18327,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.211171,1114.98254032652
18328,4,Local drainage basin divide,Local,Local,1.45957005,7706.51230818175
18329,1,Major drainage basin divide,Major,Major,0.96035498,5070.67225138097
18330,5,Stream reach basin divide,Stream Reach,Reach,0.84371697,4454.82792802072
18331,4,Local drainage basin divide,Local,Local,0.34499698,1821.58447065936
18332,2,Regional drainage basin divide,Regional,Regional,0.190518,1005.93560787742
18333,4,Local drainage basin divide,Local,Local,0.34327501,1812.49237699766
18334,4,Local drainage basin divide,Local,Local,1.01317,5349.53503458844
18335,3,Subregional drainage basin divide,Subregional,Subregional,1.18717002,6268.23516662751
18336,1,Major drainage basin divide,Major,Major,0.0678628,358.315596037524
18337,8,Shoreline,Shoreline,Shoreline,0.516725,2728.30646377049
18338,4,Local drainage basin divide,Local,Local,0.44495698,2349.37393384616
18339,4,Local drainage basin divide,Local,Local,0.07411579,391.331904767618
18340,4,Local drainage basin divide,Local,Local,0.51445001,2716.29445262016
18341,0,Not a drainage basin divide,No Show,No Show,0.01849469,97.6522926747254
18342,4,Local drainage basin divide,Local,Local,0.91259098,4818.48080211941
18343,8,Shoreline,Shoreline,Shoreline,2.90698003,15348.8643691484
18344,4,Local drainage basin divide,Local,Local,1.07485997,5675.24561248755
18345,4,Local drainage basin divide,Local,Local,0.099118,523.343176055923
18346,2,Regional drainage basin divide,Regional,Regional,0.618384,3265.06954734548
18347,5,Stream reach basin divide,Stream Reach,Reach,0.50430202,2662.71404197834
18348,4,Local drainage basin divide,Local,Local,1.07226002,5661.52052450668
18349,4,Local drainage basin divide,Local,Local,0.21303099,1124.80594285008
18350,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.31850498,1681.70490100926
18351,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.155192,819.41229275267
18352,3,Subregional drainage basin divide,Subregional,Subregional,0.59290498,3130.54079363345
18353,2,Regional drainage basin divide,Regional,Regional,0.88924801,4695.23185800075
18354,5,Stream reach basin divide,Stream Reach,Reach,0.177146,935.328449980045
18355,2,Regional drainage basin divide,Regional,Regional,0.482784,2549.09991832438
18356,4,Local drainage basin divide,Local,Local,0.32501301,1716.06628342622
18357,4,Local drainage basin divide,Local,Local,1.40353,7410.61609236363
18358,3,Subregional drainage basin divide,Subregional,Subregional,0.661677,3493.65691287309
18359,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.43222299,2282.13566655459
18360,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.318798,1683.25443604026
18361,4,Local drainage basin divide,Local,Local,1.36172997,7189.92615902858
18362,2,Regional drainage basin divide,Regional,Regional,0.408838,2158.66316583004
18363,4,Local drainage basin divide,Local,Local,0.113411,598.809217103666
18364,4,Local drainage basin divide,Local,Local,0.68897002,3637.76113055286
