OBJECTID,SourceOID,FromPosition,ToPosition,FacilityOID,SourceName,FromCumul_Minutes,ToCumul_Minutes,FromCumul_Miles,ToCumul_Miles,FromCumul_Kilometers,ToCumul_Kilometers
181,12876824,0.59252528,1.0,2,main.Routing_Streets,3.68808232,3.21590507,0.19097073,0.16652307,0.30733822,0.26799343
182,12876824,0.59252528,0.0,2,main.Routing_Streets,3.68825908,3.00164726,0.19097073,0.1554204,0.30733822,0.25012539
183,12876825,0.24576372,1.0,2,main.Routing_Streets,4.24967267,3.67103202,0.22005241,0.19008897,0.35414074,0.30591915
184,12876825,0.24576372,0.0,2,main.Routing_Streets,4.24976443,4.06121757,0.22005241,0.21028899,0.35414074,0.338428
185,12876826,0.11989961,0.0,2,main.Routing_Streets,4.82817642,4.71605156,0.25,0.24419431,0.4023368,0.39299343
186,12876827,0.0,0.23260961,2,main.Routing_Streets,0.09420235,0.0,0.00487846,0.0,0.00785114,0.0
187,12876827,1.0,0.23260961,2,main.Routing_Streets,0.31077812,0.0,0.01609429,0.0,0.0259013,0.0
188,12876828,0.95788126,0.0,2,main.Routing_Streets,4.82811723,4.4984246,0.25,0.23292809,0.4023368,0.37486218
189,12876830,0.0,1.0,2,main.Routing_Streets,2.66478202,1.65111015,0.13798656,0.08549779,0.22206829,0.13759564
190,12876831,0.97207719,1.0,2,main.Routing_Streets,3.94822929,3.79271171,0.20443426,0.19638222,0.3290057,0.31604717
191,12876831,0.81406005,0.83263206,2,main.Routing_Streets,4.82827456,4.72484062,0.25,0.24464467,0.4023368,0.39371822
192,12876831,0.83263206,0.88984007,2,main.Routing_Streets,4.72484062,4.4062371,0.24464467,0.22814712,0.39371822,0.36716793
193,12876831,0.88984007,0.97207719,2,main.Routing_Streets,4.4062371,3.94822929,0.22814712,0.20443426,0.36716793,0.3290057
194,12876944,0.17976883,0.0,2,main.Routing_Streets,4.01024101,3.57801445,0.20764606,0.18526533,0.33417461,0.29815624
195,12876944,0.50187641,0.17976883,2,main.Routing_Streets,4.78465507,4.01024101,0.24774271,0.20764606,0.39870403,0.33417461
196,12876944,0.52000973,0.50187641,2,main.Routing_Streets,4.82825366,4.78465507,0.25,0.24774271,0.4023368,0.39870403
197,12876948,0.49100266,0.50007713,2,main.Routing_Streets,4.82824833,4.78465507,0.25,0.24774271,0.4023368,0.39870403
198,12876948,0.50915156,0.50007713,2,main.Routing_Streets,4.82824744,4.78465507,0.25,0.24774271,0.4023368,0.39870403
199,12876949,0.14760938,0.0,2,main.Routing_Streets,4.82826809,4.72484062,0.25,0.24464467,0.4023368,0.39371822
200,12876952,0.0,1.0,2,main.Routing_Streets,4.69774101,4.36502617,0.24324854,0.22602093,0.39147137,0.36374615
201,12876954,0.0,1.0,2,main.Routing_Streets,4.52479179,4.01024101,0.23429341,0.20764606,0.37705944,0.33417461
202,12826548,0.84167665,1.0,3,main.Routing_Streets,4.66697544,4.2248856,0.24165211,0.21876413,0.38890216,0.35206744
203,12826548,0.78394022,0.84167665,3,main.Routing_Streets,4.82818499,4.66697544,0.25,0.24165211,0.4023368,0.38890216
204,12826549,0.63495314,0.59143955,3,main.Routing_Streets,2.00774692,1.69959263,0.10396154,0.08800442,0.16731021,0.14162967
205,12826549,0.0,0.03308883,3,main.Routing_Streets,4.2248856,3.99055942,0.21876413,0.20663037,0.35206744,0.33254
206,12826549,0.03308883,0.07786394,3,main.Routing_Streets,3.99055942,3.67346958,0.20663037,0.19021103,0.33254,0.3061156
207,12826549,0.36558148,0.39740777,3,main.Routing_Streets,1.6358231,1.41043247,0.08470254,0.07303099,0.13631579,0.11753222
