AOC_CODE,RANK_TITLE,OFFICER_SEX,OFFICER_RACE,OFFICER_AGE_RANGE,OFFICER_AGE,OFFICER_DIVISION,OFFICER_ASSIGNMENT,OFFICER_YEARS_SWORN,OBJECTID
7693,POLICE OFFICER                     ,M,W ,40 - 49,43,CIS ROBBERY                                            ,2ND PLATOON                                            ,15.0,1021
7699,POLICE SERGEANT                    ,M,W ,40 - 49,42,HOMELAND SECURITY UNIT                                 ,STAFF                                                  ,15.0,1022
7686,POLICE OFFICER                     ,M,W ,40 - 49,40,4TH DIVISION                                           ,DETECTIVES                                             ,12.0,1023
7695,POLICE OFFICER                     ,M,W ,40 - 49,40,2ND DIVISION                                           ,DETECTIVES                                             ,15.0,1024
7691,POLICE OFFICER                     ,M,W ,40 - 49,42,CANINE UNIT                                            ,3RD PLATOON                                            ,15.0,1025
7688,POLICE OFFICER                     ,M,W ,40 - 49,42,3RD DIVISION                                           ,DETECTIVES                                             ,15.0,1026
7683,POLICE SERGEANT                    ,M,W ,40 - 49,41,TRAINING                                               ,SPECIAL PROJECTS UNIT                                  ,15.0,1027
7678,POLICE SERGEANT                    ,M,B ,50 - 59,54,8TH DIVISION                                           ,1ST PLATOON                                            ,15.0,1028
7676,POLICE OFFICER                     ,M,H ,50 - 59,54,VIOLENT CRIME UNIT                                     ,SQUAD 2                                                ,15.0,1029
7705,POLICE SERGEANT                    ,M,W ,40 - 49,41,TRAINING                                               ,FIREARMS TRAINING UNIT                                 ,15.0,1030
7713,POLICE OFFICER                     ,M,W ,40 - 49,40,8TH DIVISION                                           ,DETECTIVES                                             ,14.0,1031
7707,POLICE OFFICER                     ,M,W ,50 - 59,57,MAJOR CRIME DIVISION                                   ,STAFF                                                  ,14.0,1032
7715,POLICE LIEUTENANT                  ,M,W ,30 - 39,38,ADMINISTRATIVE BUREAU                                  ,STAFF                                                  ,14.0,1033
7712,POLICE OFFICER                     ,M,W ,40 - 49,42,CIS ROBBERY                                            ,2ND PLATOON                                            ,14.0,1034
7709,POLICE OFFICER                     ,M,H ,50 - 59,59,3RD DIVISION                                           ,2ND PLATOON                                            ,14.0,1035
7706,POLICE SERGEANT                    ,M,W ,30 - 39,38,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,14.0,1036
7752,POLICE OFFICER                     ,M,B ,30 - 39,36,CHIEF`S STAFF                                          ,STAFF                                                  ,14.0,1037
7727,POLICE LIEUTENANT                  ,M,W ,40 - 49,44,6TH DIVISION                                           ,STAFF                                                  ,14.0,1038
7730,POLICE OFFICER                     ,M,W ,40 - 49,44,7TH DIVISION                                           ,1ST PLATOON                                            ,14.0,1039
7724,POLICE SERGEANT                    ,M,W ,40 - 49,47,CHIEF`S STAFF                                          ,STAFF                                                  ,14.0,1040
7720,POLICE OFFICER                     ,M,W ,40 - 49,44,TRAFFIC                                                ,1ST PLATOON                                            ,14.0,1041
7718,POLICE OFFICER                     ,M,W ,50 - 59,54,1ST DIVISION                                           ,3RD PLATOON                                            ,14.0,1042
7728,POLICE SERGEANT                    ,M,W ,30 - 39,38,MAJOR CASE UNIT                                        ,INTERDICTION SQUAD                                     ,14.0,1043
7726,POLICE SERGEANT                    ,M,W ,30 - 39,39,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,14.0,1044
7725,POLICE SERGEANT                    ,F,W ,40 - 49,41,CANINE UNIT                                            ,STAFF                                                  ,14.0,1045
7719,POLICE OFFICER                     ,M,W ,30 - 39,38,TRAINING                                               ,FIREARMS TRAINING UNIT                                 ,14.0,1046
7722,POLICE OFFICER                     ,M,W ,30 - 39,38,6TH DIVISION                                           ,DETECTIVES                                             ,14.0,1047
7738,POLICE OFFICER                     ,M,W ,30 - 39,39,TRAINING                                               ,BASIC ACADEMY                                          ,14.0,1048
7735,POLICE OFFICER                     ,M,W ,40 - 49,40,7TH DIVISION                                           ,2ND PLATOON                                            ,14.0,1049
7742,POLICE SERGEANT                    ,M,W ,30 - 39,38,SUPPORT UNIT                                           ,SCRIPT TEAM                                            ,14.0,1050
7739,POLICE OFFICER                     ,M,W ,40 - 49,45,6TH DIVISION                                           ,1ST PLATOON                                            ,14.0,1051
7751,POLICE OFFICER                     ,M,W ,50 - 59,54,TRAFFIC                                                ,2ND PLATOON                                            ,14.0,1052
7741,POLICE OFFICER                     ,M,W ,50 - 59,51,8TH DIVISION                                           ,STAFF                                                  ,14.0,1053
7748,POLICE OFFICER                     ,M,W ,40 - 49,41,MAJOR CASE UNIT                                        ,MAJOR CASE SQUAD                                       ,14.0,1054
7733,POLICE MAJOR                       ,M,W ,30 - 39,38,CRIMINAL INTERDICTION                                  ,STAFF                                                  ,14.0,1055
