OBJECTID,PL_LNGTH,PL_TOWNSHIP,PL_RANGE,PL_SECTION,PL_QUARTER,PL_SIXTEENTH,PL_GOVTLOT,PL_FEA_SYM,SHAPE_Length
12313,1325.32875,0.0,0.0,1.0,1.0,1.0,0.0,SC,1325.32874625312
12317,663.3727,0.0,0.0,0.0,0.0,0.0,1.0,GL,663.37269947983
12320,257.29221,0.0,0.0,1.0,1.0,1.0,0.0,SC,257.29220721328
12321,1326.28729,0.0,0.0,0.0,0.0,0.0,1.0,GL,1326.28728894113
12322,1065.84903,0.0,0.0,1.0,1.0,1.0,1.0,SC,1065.84903015634
12323,1072.21486,0.0,0.0,0.0,0.0,1.0,1.0,SX,1072.21486360821
12324,1328.5845,0.0,0.0,0.0,0.0,1.0,1.0,SX,1328.58450450787
12325,1328.71048,0.0,0.0,0.0,0.0,1.0,1.0,SX,1328.71047747689
12330,1181.85194,0.0,0.0,0.0,0.0,0.0,1.0,GL,1181.85194222157
12340,1313.82207,0.0,0.0,0.0,0.0,1.0,1.0,GL,1313.82206528941
12341,1076.12061,0.0,0.0,0.0,0.0,0.0,1.0,GL,1076.12060654922
12342,1082.61551,0.0,0.0,1.0,1.0,1.0,0.0,SC,1082.61550874668
12343,242.80846,0.0,0.0,1.0,1.0,1.0,1.0,SC,242.808464841224
12345,152.18083,0.0,0.0,1.0,1.0,1.0,1.0,SC,152.180831159745
12346,1173.24419,0.0,0.0,1.0,1.0,1.0,0.0,SC,1173.24419061861
12351,1322.0599,0.0,0.0,0.0,1.0,1.0,1.0,QS,1322.05989555891
12352,220.71212,0.0,0.0,0.0,0.0,0.0,1.0,GL,220.712124127775
12353,330.40563,0.0,0.0,0.0,0.0,0.0,1.0,GL,330.405626443264
12354,330.41945,0.0,0.0,0.0,0.0,0.0,1.0,GL,330.419450471036
12355,201.05162,0.0,0.0,0.0,0.0,0.0,1.0,GL,201.05162091122
12358,56.91932,0.0,0.0,0.0,0.0,0.0,1.0,GL,56.9193233386154
12360,1321.72477,0.0,0.0,0.0,0.0,1.0,1.0,SX,1321.72476808296
12366,648.67591,0.0,0.0,0.0,1.0,1.0,1.0,QS,648.675912095101
12367,1337.70847,0.0,0.0,0.0,1.0,1.0,0.0,QS,1337.70846679556
12368,1325.54259,0.0,0.0,0.0,0.0,1.0,1.0,SX,1325.54259275635
12369,1245.96564,0.0,0.0,0.0,0.0,1.0,1.0,SX,1245.96564129016
12371,180.31062,0.0,0.0,0.0,0.0,0.0,1.0,GL,180.310621714953
12372,464.49049,0.0,0.0,0.0,0.0,0.0,1.0,GL,464.490490925175
