OBJECTID,WSA_NAME,WSA_NO,WSA_SUIT,BLM_ORG_CD,AUTH_NAME,BOUNDARY_STATUS,GIS_ACRES,SHAPE_Length,SHAPE_Area
340,,out,X,ORV04,,Unknown,1.03005641,0.0025027927660609,4.60751877068287e-07
341,,roadout,X,ORV04,,Unknown,0.75064394,0.0119526302694604,3.35774220056711e-07
342,Clarks Butte WSA,3-120,N,ORV04,,Unknown,31291.26278315,0.771512921685919,0.0139940311949463
343,,roadout,X,ORV04,,Unknown,0.35845019,0.005925702604883,1.60356485539903e-07
344,,roadout,X,ORV04,,Unknown,6.09468373,0.0787078627088479,2.73032066560426e-06
345,Jordan Craters WSA,3-128,N,ORV04,,Unknown,4768.87602153,0.226498958523426,0.0021360406047368
346,Jordan Craters WSA,3-128,Y,ORV04,,Unknown,22991.80856917,0.853728449506543,0.0102982415481498
347,,roadout,Y,NVW00,,Unknown,1.62029511,0.0252850988274545,7.12356425966455e-07
348,,roadout,Y,NVW00,,Unknown,1.36503861,0.0217538894383053,5.99977507273753e-07
349,NV-Disaster Peak WSA,,Y,NVW00,,Unknown,11744.74010718,0.555339815576027,0.0051625635372913
350,NV-Disaster Peak WSA,,N,NVW00,,Unknown,831.35928516,0.0966872081747985,0.0003651855889292
351,,roadout,X,ORV04,,Unknown,1.30813521,0.0187660061525974,5.89346864376089e-07
352,,roadout,X,ORV04,,Unknown,1.41907406,0.0222640419310735,6.39516922306433e-07
353,Dry Creek Buttes WSA,3-56,N,ORV04,,Unknown,51285.16837158,1.10839485354624,0.0230882140343041
354,Dry Creek WSA,3-53,N,ORV04,,Unknown,23352.81121193,0.704299031885908,0.0105350163460411
355,Upper Leslie Gulch WSA,3-74,Y,ORV04,,Unknown,2910.79524813,0.209853304468437,0.0013074567735668
356,,out,X,ORV04,,Unknown,40.04019311,0.0171334978896856,1.79869311994673e-05
357,,roadout,X,ORV04,,Unknown,9.90662808,0.145211254761855,4.45122595664996e-06
358,Wild Horse Basin WSA,3-77B,N,ORV04,,Unknown,12967.30186306,0.71675022467472,0.0058515558346031
359,,roadout,X,ORV04,,Unknown,5.15866958,0.0734321315596346,2.32603430609415e-06
360,,roadout,X,ORV04,,Unknown,4.20655049,0.0641102008422006,1.89630253047205e-06
361,Honeycombs WSA,3-77A,N,ORV04,,Unknown,595.54154036,0.0773340201693217,0.0002684880904372
362,Honeycombs WSA,3-77A,N,ORV04,,Unknown,2466.90748189,0.178476604553855,0.0011118258285688
