X,Y,OBJECTID,STOPID,STOPABBR,STOPNAME,LON,LAT
1206286.7625,266040.496250004,985,4701,25610,S 3rd @ W Cardinal,-85.761192,38.220777
1206204.86,265549.423749998,986,4702,25615,3rd @ Brandies,-85.761449,38.219425
1206056.1575,264595.076250002,987,4704,25620,S 3rd opp Ekstrom Library,-85.761912,38.216798
1205910.595,263552.540000007,988,8718,25625,3rd @ Eastern Pkwy,-85.762359,38.213929
1205012.73625,248533.697500005,989,426,2565,Southside @ Kingston,-85.764624,38.172652
1201852.66249999,238292.126249999,990,8628,25658,New Cut @ Auburndale Center,-85.775025,38.144389
1202035.98125,237064.247500002,991,4711,25660,New Cut @ Bakers,-85.774317,38.141026
1202128.91249999,236422.426249996,992,4712,25665,New Cut @ Scottsdale,-85.773957,38.139268
1202359.13,234810.623750001,993,4714,25675,New Cut @ Auburndale Elem,-85.773064,38.134853
1202460.0325,233814.658749998,994,4716,25685,New Cut @ Harpers Ferry,-85.772656,38.132123
1202061.7825,232904.526250005,995,4717,25690,New Cut @ Candlelight,-85.773988,38.129606
1205019.25749999,249174.967500001,996,427,2570,Southside @ Amherst,-85.764638,38.174413
1201462.54125001,232072.027500004,997,4719,25700,New Cut @ K Mart Driveway,-85.776023,38.127293
1205030.01875,249916.689999998,998,428,2575,Southside @ W Tenny,-85.764643,38.17645
1205027.90625,250837.088750005,999,430,2585,S 2nd @ W Kenwood Way,-85.764703,38.178977
1200029.33374999,232597.698750004,1000,7616,25869,Walmart Market,-85.781035,38.128671
1201609.98875,232185.040000007,1001,4760,25870,New Cut @ K Mart Driveway,-85.775517,38.12761
1202108.95874999,232921.592500001,1002,4762,25880,New Cut @ Candlelight,-85.773825,38.129655
1202531.995,233852.075000003,1003,4763,25885,New Cut @ Harpers Ferry,-85.772408,38.132229
1202456.46375,234695.016249999,1004,4765,25895,New Cut @ Auburndale Elem,-85.772719,38.13454
