OBJECTID,adm_code,adm_manage,adm_name,GIS_acres,SMA_ID,GlobalID,SHAPE_Length,SHAPE_Area
4642,BLM,BLM,,48.42343066,2.0,{7D9A519F-D1BF-4A68-988E-633853D4109B},1777.93918138387,195962.671373273
4643,PRI,PRI, ,20.90240401,2388.0,{1DE34AE6-48BA-4B12-A26D-49FE22680E6C},1348.416123443,84589.0279038838
4644,BLM,BLM,,41.88288537,2.0,{2E463515-DA88-479F-8D46-376A0CB70B0F},1647.09098914737,169494.023634472
4645,PRI,LOCAL,Raftopoulos Hunting Lease,280.04536813,2388.0,{AB9C3CF9-0F18-4A9B-9DDF-C6285524082F},4825.444510421,1133303.39658429
4646,BLM,BLM,,0.00069281,2.0,{572C83CC-1753-4E7A-AAB0-BC3C33E10EB4},8.95618962328432,2.80369344005675
4647,PRI,PRI, ,20.64286048,2388.0,{61A2CD69-72B8-4F4A-96A5-F1F5773B3067},1279.61963407865,83538.6924975456
4648,STA,STA,,634.55266846,2386.0,{73D411DC-3BEF-4DE6-99A4-2CDE6E84D9F7},6412.05640666041,2567943.54172139
4649,PRI,PRI, ,10.32409222,2388.0,{407E2622-BD4E-46E6-A7AE-F8FE6ADB1775},1097.32604265551,41780.1189159064
4650,BLM,BLM,,61.74655358,2.0,{66A9FD61-2C34-44AA-96B8-64B195F591B9},2134.56828085258,249879.436910296
4651,PRI,PRI, ,27.7102011,2388.0,{53B669B5-19F2-4D53-B5B6-D1A8F8912B8D},2768.02967204518,112139.205277839
4652,BLM,BLM,,165.89234376,2.0,{54FCD2B6-1975-438D-8891-8D05AD433BA0},4045.70674630339,671342.496763336
4653,PRI,PRI, ,0.00025093,2388.0,{5F6A8A8A-1052-4845-A154-7BD6F889B5BD},4.80637879354148,1.01546933991939
4654,STA,STA,,281.64346785,2386.0,{37D4C8D7-A3A7-43E1-B22F-20693F9F7716},4820.63490094473,1139770.6766892
4655,PRI,PRI, ,12.70362328,2388.0,{2320031F-D247-4375-99E2-408D6E0E7082},2136.33747146403,51409.7394569644
4656,BLM,BLM,,0.0193681,2.0,{1A9F8CC7-DE1A-4981-99EB-349B2FA19AA1},45.1129275162149,78.3799341658813
4657,STA,STA,,609.27020891,2386.0,{56F16AFE-8A21-4FA8-8E8C-11BBC73A16F5},6287.58764635197,2465629.05791038
