AGE_GROUP,CONFIRMED_by_age,CongregateSetting,FORMRECEIVED_WEEK_ENDING,non_CongregateSetting,REPORTED,ObjectId
65,396,51,2020/12/19 05:00:00+00,345,2022/10/09 10:17:00+00,308
0,542,5,2021/01/09 05:00:00+00,537,2022/10/09 10:17:00+00,309
65,522,70,2021/01/09 05:00:00+00,452,2022/10/09 10:17:00+00,310
0,475,6,2021/01/16 05:00:00+00,469,2022/10/09 10:17:00+00,311
65,532,65,2021/01/16 05:00:00+00,467,2022/10/09 10:17:00+00,312
0,318,2,2021/02/06 05:00:00+00,316,2022/10/09 10:17:00+00,313
65,103,1,2021/03/06 05:00:00+00,102,2022/10/09 10:17:00+00,314
20,329,0,2021/03/27 04:00:00+00,329,2022/10/09 10:17:00+00,315
45,172,0,2021/03/27 04:00:00+00,172,2022/10/09 10:17:00+00,316
0,128,0,2021/04/10 04:00:00+00,128,2022/10/09 10:17:00+00,317
45,166,0,2021/04/10 04:00:00+00,166,2022/10/09 10:17:00+00,318
65,56,0,2021/04/10 04:00:00+00,56,2022/10/09 10:17:00+00,319
20,256,0,2021/04/24 04:00:00+00,256,2022/10/09 10:17:00+00,320
65,34,0,2021/04/24 04:00:00+00,34,2022/10/09 10:17:00+00,321
20,382,0,2021/05/01 04:00:00+00,382,2022/10/09 10:17:00+00,322
65,60,0,2021/05/01 04:00:00+00,60,2022/10/09 10:17:00+00,323
65,54,0,2021/05/08 04:00:00+00,54,2022/10/09 10:17:00+00,324
0,113,0,2021/05/15 04:00:00+00,113,2022/10/09 10:17:00+00,325
20,254,0,2021/05/15 04:00:00+00,254,2022/10/09 10:17:00+00,326
0,88,0,2021/05/29 04:00:00+00,88,2022/10/09 10:17:00+00,327
65,36,0,2021/05/29 04:00:00+00,36,2022/10/09 10:17:00+00,328
0,43,0,2021/06/05 04:00:00+00,43,2022/10/09 10:17:00+00,329
45,46,0,2021/06/05 04:00:00+00,46,2022/10/09 10:17:00+00,330
20,69,0,2021/06/19 04:00:00+00,69,2022/10/09 10:17:00+00,331
45,31,0,2021/06/26 04:00:00+00,31,2022/10/09 10:17:00+00,332
20,79,0,2021/07/03 04:00:00+00,79,2022/10/09 10:17:00+00,333
0,35,0,2021/07/10 04:00:00+00,35,2022/10/09 10:17:00+00,334
20,179,0,2021/07/17 04:00:00+00,179,2022/10/09 10:17:00+00,335
