OBJECTID,SMPOLY_COD,SURFM_POLY,DESCRIP,IMS_LEGEND,ACREAGE,AREA_SQMI,SHAPE_Length,SHAPE_Area
4829,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,7.78388977,0.01216229,4168.34854015484,339066.444838108
4830,T,Till,Till,Till,6.75861978,0.0105603,2143.97763145138,294405.367119672
4831,TT,Thick Till,Thick Till,Thick Till,403.88400268,0.63106799,26097.2882870625,17593165.6605821
4832,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,45.45970153,0.0710308,15502.0043408283,1980225.92097355
4833,SG,Sand+Gravel,Sand and Gravel,Coarse,10.89410018,0.017022,4996.25077676123,474545.30074581
4834,W,Water,Water,Water,7.61978006,0.0119059,2423.15254693722,331917.758958762
4835,SG,Sand+Gravel,Sand and Gravel,Coarse,52.01440048,0.0812726,8819.52523199775,2265748.6795061
4836,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,1.81350004,0.00283358,1585.14322419027,78995.8737028598
4837,TT,Thick Till,Thick Till,Thick Till,24.62980079,0.03848399,4264.40084997172,1072871.67415948
4838,T,Till,Till,Till,96.16120147,0.15025199,8867.0002581519,4188782.56421594
4839,T,Till,Till,Till,43.00790023,0.06719979,6031.72765953333,1873423.65858052
4840,SG,Sand+Gravel,Sand and Gravel,Coarse,74.7559967,0.116806,11085.9473956075,3256369.98854958
4841,W,Water,Water,Water,22.90430068,0.03578789,8309.06877286266,997709.54681915
4842,TA,Talus,Talus,Natural Postglacial,33.85589981,0.0528999,17763.9354887098,1474764.02703725
4843,SW,Swamp,Swamp,Natural Postglacial,25.3057003,0.0395401,5973.69446282069,1102315.14373165
4844,SG/S,Sand+Gravel/Sand,Sand and Gravel overlying Sand,Stacked Coarse,517.98400878,0.80935001,31208.9539334387,22563387.1771969
4845,SG/S,Sand+Gravel/Sand,Sand and Gravel overlying Sand,Stacked Coarse,39.9402008,0.06240659,7048.87671140467,1739795.32948059
4846,T,Till,Till,Till,12606.29980468,19.69729995,457462.664213178,549129425.661799
4847,G/SG,Gravel/Sand+Gravel,Gravel overlying Sand and Gravel,Stacked Coarse,39.09479904,0.0610856,7728.28884828364,1702970.42783485
4848,W,Water,Water,Water,7.19000005,0.01123439,2491.75097253132,313196.49991049
4849,T,Till,Till,Till,27.64529991,0.04319579,5089.23779386859,1204229.01191267
4850,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,4.67413997,0.00730335,2209.66283290648,203605.503859159
